legacy_id,unit_id,label,source_path,source_sha256,pointer,category,organization_id,product_id,version,version_status,deployment_status,normalization_status,split_rule,evaluation_role,uncertainty,economic_functions,instruments,mechanisms,execution,trust
legacy:lane1:c1:p5,unit:lane1:c1:p5,Compound V3,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/1/protocols/5,Lending,org:compound-v3,product:lane1:c1:p5,V3,source_label,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""credit""]","[""debt_claim""]","[""collateralization"", ""liquidation""]",[],[]
legacy:lane1:c2:p0,unit:lane1:c2:p0,"Sky (Sky Lending, ex-MakerDAO)",corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/2/protocols/0,CDP / collateral-backed stablecoins,org:sky-sky-lending-ex-makerdao,product:lane1:c2:p0,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""credit"", ""money""]","[""debt_claim"", ""stablecoin""]","[""allocation"", ""auction"", ""collateralization"", ""liquidation"", ""mint_burn""]",[],"[""attester"", ""keeper""]"
legacy:lane1:c2:p1,unit:lane1:c2:p1,Ethena (USDe / sUSDe),corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/2/protocols/1,CDP / collateral-backed stablecoins,org:ethena-usde-susde,product:lane1:c2:p1,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity."", ""The source name may bundle products or wrappers; additional splitting is unresolved.""]","[""asset_management"", ""money""]","[""stablecoin"", ""vault_share""]","[""allocation"", ""custody"", ""mint_burn"", ""redemption""]",[],"[""curator"", ""custodian"", ""issuer""]"
legacy:lane1:c2:p2,unit:lane1:c2:p2,USDD,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/2/protocols/2,CDP / collateral-backed stablecoins,org:usdd,product:lane1:c2:p2,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""credit"", ""money""]","[""debt_claim"", ""stablecoin""]","[""auction"", ""collateralization"", ""liquidation""]",[],"[""curator"", ""keeper""]"
legacy:lane1:c2:p3,unit:lane1:c2:p3,Lista CDP,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/2/protocols/3,CDP / collateral-backed stablecoins,org:lista-cdp,product:lane1:c2:p3,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""credit"", ""money""]","[""debt_claim"", ""stablecoin""]","[""auction"", ""collateralization"", ""liquidation"", ""mint_burn""]",[],[]
legacy:lane1:c2:p4,unit:lane1:c2:p4:v1,Liquity V1,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/2/protocols/4,CDP / collateral-backed stablecoins,org:liquity,product:liquity,V1,source_label,unresolved,split_candidate,explicit-version-split,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity."", ""Parent-row elements, residue and forced fits are bundled context; they are not copied as child-specific facts.""]","[""credit"", ""money""]","[""debt_claim"", ""stablecoin""]","[""collateralization"", ""liquidation""]",[],[]
legacy:lane1:c2:p4,unit:lane1:c2:p4:v2,Liquity V2,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/2/protocols/4,CDP / collateral-backed stablecoins,org:liquity,product:liquity,V2,source_label,unresolved,split_candidate,explicit-version-split,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity."", ""Parent-row elements, residue and forced fits are bundled context; they are not copied as child-specific facts.""]","[""credit"", ""money""]","[""debt_claim"", ""stablecoin""]","[""allocation"", ""collateralization"", ""redemption""]",[],"[""curator""]"
legacy:lane1:c2:p5,unit:lane1:c2:p5,crvUSD,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/2/protocols/5,CDP / collateral-backed stablecoins,org:crvusd,product:lane1:c2:p5,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""credit"", ""money""]","[""debt_claim"", ""stablecoin""]","[""amm"", ""collateralization"", ""liquidation"", ""mint_burn""]",[],"[""keeper"", ""oracle""]"
legacy:lane1:c3:p0,unit:lane1:c3:p0,Lido,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/3/protocols/0,Liquid staking & restaking,org:lido,product:lane1:c3:p0,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""staking_security""]","[""stake_claim""]","[""allocation"", ""staking""]",[],"[""attester"", ""oracle"", ""validator_set""]"
legacy:lane1:c3:p1,unit:lane1:c3:p1,Binance staked ETH (WBETH),corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/3/protocols/1,Liquid staking & restaking,org:binance-staked-eth-wbeth,product:lane1:c3:p1,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""staking_security""]","[""stake_claim""]","[""custody"", ""mint_burn"", ""redemption"", ""staking""]",[],"[""custodian"", ""issuer"", ""validator_set""]"
legacy:lane1:c3:p2,unit:lane1:c3:p2,EigenCloud (EigenLayer),corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/3/protocols/2,Liquid staking & restaking,org:eigencloud-eigenlayer,product:lane1:c3:p2,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""staking_security""]",[],"[""allocation"", ""staking""]",[],[]
legacy:lane1:c3:p3,unit:lane1:c3:p3,ether.fi (eETH / weETH),corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/3/protocols/3,Liquid staking & restaking,org:ether-fi-eeth-weeth,product:lane1:c3:p3,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity."", ""The source name may bundle products or wrappers; additional splitting is unresolved.""]","[""staking_security""]","[""stake_claim""]","[""allocation"", ""auction"", ""staking""]",[],"[""attester"", ""oracle"", ""validator_set""]"
legacy:lane1:c3:p4,unit:lane1:c3:p4,Babylon Protocol,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,afaf18d717dbd0ccc4e2909c146943e37ed3dff3c982bcfbc9b4f71f26c23369,/categories/3/protocols/4,Liquid staking & restaking,org:babylon-protocol,product:lane1:c3:p4,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""staking_security""]",[],"[""staking""]","[""async_cross_domain"", ""utxo""]","[""multisig""]"
legacy:lane2:c0:p0,unit:lane2:c0:p0,Hyperliquid,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/0/protocols/0,Perpetuals / derivatives,org:hyperliquid,product:lane2:c0:p0,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management"", ""derivatives"", ""exchange"", ""staking_security""]","[""perpetual"", ""spot_asset"", ""vault_share""]","[""auction"", ""collateralization"", ""liquidation"", ""order_book"", ""staking""]","[""appchain""]","[""curator"", ""oracle"", ""validator_set""]"
legacy:lane2:c0:p1,unit:lane2:c0:p1,ApeX Protocol (ApeX Omni),corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/0/protocols/1,Perpetuals / derivatives,org:apex-protocol-apex-omni,product:lane2:c0:p1,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""derivatives""]","[""perpetual""]","[""order_book""]","[""offchain_matched_onchain_settled""]",[]
legacy:lane2:c0:p2,unit:lane2:c0:p2,Aster,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/0/protocols/2,Perpetuals / derivatives,org:aster,product:lane2:c0:p2,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""derivatives""]","[""perpetual""]","[""collateralization"", ""order_book""]","[""offchain_matched_onchain_settled""]","[""oracle""]"
legacy:lane2:c0:p3,unit:lane2:c0:p3,Lighter,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/0/protocols/3,Perpetuals / derivatives,org:lighter,product:lane2:c0:p3,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""derivatives""]","[""perpetual""]","[""liquidation"", ""order_book""]","[""offchain_matched_onchain_settled""]","[""sequencer""]"
legacy:lane2:c0:p4,unit:lane2:c0:p4,edgeX,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/0/protocols/4,Perpetuals / derivatives,org:edgex,product:lane2:c0:p4,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""derivatives""]","[""perpetual""]","[""order_book""]","[""offchain_matched_onchain_settled""]",[]
legacy:lane2:c0:p5,unit:lane2:c0:p5,Jupiter Perpetual Exchange,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/0/protocols/5,Perpetuals / derivatives,org:jupiter,product:lane2:c0:p5,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""derivatives""]","[""perpetual"", ""vault_share""]","[""collateralization"", ""liquidation"", ""mint_burn""]",[],"[""oracle""]"
legacy:lane2:c0:p6,unit:lane2:c0:p6,GMX V2 Perps,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/0/protocols/6,Perpetuals / derivatives,org:gmx-v2-perps,product:lane2:c0:p6,V2,source_label,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""derivatives""]","[""perpetual""]","[""collateralization""]",[],"[""oracle""]"
legacy:lane2:c1:p0,unit:lane2:c1:p0,Pendle,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/1/protocols/0,Yield / vaults / aggregators,org:pendle,product:lane2:c1:p0,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""derivatives"", ""exchange""]",[],"[""allocation"", ""amm""]",[],[]
legacy:lane2:c1:p1,unit:lane2:c1:p1,Spark Savings (sUSDS / Sky Savings Rate),corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/1/protocols/1,Yield / vaults / aggregators,org:spark-savings-susds-sky-savings-rate,product:lane2:c1:p1,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity."", ""The source name may bundle products or wrappers; additional splitting is unresolved.""]","[""asset_management""]","[""vault_share""]","[""redemption""]",[],"[""issuer""]"
legacy:lane2:c1:p2,unit:lane2:c1:p2,Convex Finance,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/1/protocols/2,Yield / vaults / aggregators,org:convex-finance,product:lane2:c1:p2,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management""]","[""vault_share""]","[""allocation""]",[],[]
legacy:lane2:c1:p3,unit:lane2:c1:p3,CIAN Yield Layer,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/1/protocols/3,Yield / vaults / aggregators,org:cian-yield-layer,product:lane2:c1:p3,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management""]","[""vault_share""]","[""allocation""]",[],"[""keeper""]"
legacy:lane2:c1:p4,unit:lane2:c1:p4,Huma Finance V2,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/1/protocols/4,Yield / vaults / aggregators,org:huma-finance-v2,product:lane2:c1:p4,V2,source_label,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""credit"", ""offchain_claims""]","[""debt_claim"", ""vault_share""]","[""redemption""]","[""offchain_legal_settlement"", ""solana_transaction""]","[""curator"", ""legal_obligor""]"
legacy:lane2:c1:p5,unit:lane2:c1:p5,Yearn Finance,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/1/protocols/5,Yield / vaults / aggregators,org:yearn-finance,product:lane2:c1:p5,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management""]","[""vault_share""]","[""allocation""]",[],"[""curator"", ""keeper""]"
legacy:lane2:c1:p6,unit:lane2:c1:p6,Beefy,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/1/protocols/6,Yield / vaults / aggregators,org:beefy,product:lane2:c1:p6,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management""]","[""vault_share""]","[""allocation""]",[],"[""keeper""]"
legacy:lane2:c1:p7,unit:lane2:c1:p7,Steakhouse Financial,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/1/protocols/7,Yield / vaults / aggregators,org:steakhouse-financial,product:lane2:c1:p7,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management""]","[""vault_share""]","[""allocation""]",[],"[""curator""]"
legacy:lane2:c2:p0,unit:lane2:c2:p0,WBTC,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/2/protocols/0,Bridges / cross-domain,org:wbtc,product:lane2:c2:p0,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""offchain_claims"", ""payments_settlement""]","[""spot_asset""]","[""custody"", ""mint_burn"", ""redemption""]",[],"[""custodian"", ""issuer""]"
legacy:lane2:c2:p1,unit:lane2:c2:p1,LayerZero V2,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/2/protocols/1,Bridges / cross-domain,org:layerzero-v2,product:lane2:c2:p1,V2,source_label,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""payments_settlement""]",[],"[""mint_burn"", ""routing""]","[""async_cross_domain""]","[""attester"", ""keeper""]"
legacy:lane2:c2:p2,unit:lane2:c2:p2,Coinbase Bridge (cbBTC and other wrapped assets),corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/2/protocols/2,Bridges / cross-domain,org:coinbase-bridge-cbbtc-and-other-wrapped-assets,product:lane2:c2:p2,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity."", ""The source name may bundle products or wrappers; additional splitting is unresolved.""]","[""offchain_claims"", ""payments_settlement""]","[""spot_asset""]","[""custody"", ""redemption""]",[],"[""custodian"", ""issuer"", ""legal_obligor""]"
legacy:lane2:c2:p3,unit:lane2:c2:p3,Hyperliquid Bridge,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/2/protocols/3,Bridges / cross-domain,org:hyperliquid-bridge,product:lane2:c2:p3,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""payments_settlement""]","[""stablecoin""]","[""custody""]","[""async_cross_domain""]","[""validator_set""]"
legacy:lane2:c2:p4,unit:lane2:c2:p4,Binance Bitcoin (BTCB),corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/2/protocols/4,Bridges / cross-domain,org:binance-bitcoin-btcb,product:lane2:c2:p4,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""offchain_claims"", ""payments_settlement""]","[""spot_asset""]","[""custody"", ""mint_burn"", ""redemption""]",[],"[""custodian"", ""issuer""]"
legacy:lane2:c2:p5,unit:lane2:c2:p5,Circle CCTP,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/2/protocols/5,Bridges / cross-domain,org:circle-cctp,product:lane2:c2:p5,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""payments_settlement""]","[""stablecoin""]","[""mint_burn""]","[""async_cross_domain""]","[""attester"", ""issuer""]"
legacy:lane2:c2:p6,unit:lane2:c2:p6,Across,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/2/protocols/6,Bridges / cross-domain,org:across,product:lane2:c2:p6,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""payments_settlement""]","[""vault_share""]","[""oracle_dispute""]","[""async_cross_domain""]","[""keeper"", ""oracle""]"
legacy:lane2:c3:p0,unit:lane2:c3:p0,LiquidMesh,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/3/protocols/0,Intents / aggregation / order flow,org:liquidmesh,product:lane2:c3:p0,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""exchange""]","[""spot_asset""]","[""routing""]",[],[]
legacy:lane2:c3:p1,unit:lane2:c3:p1,Binance Wallet,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/3/protocols/1,Intents / aggregation / order flow,org:binance-wallet,product:lane2:c3:p1,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""exchange""]","[""spot_asset""]","[""routing""]",[],[]
